mmsi,ts,time_bin,lat,lon,speed,course
412917000,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.093845,120.524603,0.0,303.2
413000000,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.323273,119.691425,5.3,212.0
413021330,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.671538,121.235093,0.0,75.3
413024520,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.083883,120.309223,0.1,205.0
413024530,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.08382,120.30952,0.0,22.2
413024660,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.083857,120.309248,0.0,36.0
413024680,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.014217,120.214303,0.1,137.3
413024720,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.002987,120.188775,0.4,264.5
413202460,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.3153,119.719693,0.0,265.9
413204520,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.064418,120.222012,0.0,334.3
413208960,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.992823,120.250525,0.0,307.9
413208970,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.992763,120.250585,0.0,277.6
413222140,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.579555,119.757693,0.0,203.8
413225790,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.239033,121.233733,10.4,329.7
413226460,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.234733,122.354693,8.8,62.7
413227680,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.282137,119.639947,0.1,360.0
413230756,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.055548,119.613662,3.5,98.6
413232690,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.71872,121.396253,0.0,0.0
413237450,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.76655,122.16452,6.1,153.3
413252000,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.980382,120.241308,0.0,0.0
413263030,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,36.675437,121.232067,0.0,200.1
413266710,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.082198,120.3133,0.0,0.0
413268470,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.67545,121.23192,0.0,360.0
413270970,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.570833,119.759,0.0,0.0
413274250,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.012473,120.2838,0.0,25.7
413277980,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.078753,120.266533,9.3,238.3
413280320,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.581327,119.746613,0.1,105.5
413285990,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.391687,121.758237,11.0,243.3
